"label","jobId","state","exitCode","account","partition","cpus","restarts","elapsedSeconds"
"27061644_290","27067044","COMPLETED","0:0","pi_jss233","day","1","0","242"
"27061644_291","27067053","COMPLETED","0:0","pi_jss233","day","1","0","843"
"27061644_292","27067054","COMPLETED","0:0","pi_jss233","day","1","0","247"
"27061644_293","27067056","COMPLETED","0:0","pi_jss233","day","1","0","918"
"27061644_294","27067058","COMPLETED","0:0","pi_jss233","day","1","0","248"
"27061644_295","27067059","COMPLETED","0:0","pi_jss233","day","1","0","793"
"27061644_296","27067061","COMPLETED","0:0","pi_jss233","day","1","0","318"
"27061644_297","27067062","COMPLETED","0:0","pi_jss233","day","1","0","821"
"27061644_298","27067203","COMPLETED","0:0","pi_jss233","day","1","0","1003"
"27061644_299","27067204","COMPLETED","0:0","pi_jss233","day","1","0","917"
"27061644_300","27067218","COMPLETED","0:0","pi_jss233","day","1","0","702"
"27061644_301","27067219","COMPLETED","0:0","pi_jss233","day","1","0","961"
"27061644_302","27067222","COMPLETED","0:0","pi_jss233","day","1","0","325"
"27061644_303","27067223","COMPLETED","0:0","pi_jss233","day","1","0","328"
"27061644_304","27067224","COMPLETED","0:0","pi_jss233","day","1","0","624"
"27061644_305","27067226","COMPLETED","0:0","pi_jss233","day","1","0","928"
"27061644_306","27067230","COMPLETED","0:0","pi_jss233","day","1","0","499"
"27061644_307","27067231","COMPLETED","0:0","pi_jss233","day","1","0","344"
"27061644_308","27067232","COMPLETED","0:0","pi_jss233","day","1","0","469"
"27061644_309","27067234","COMPLETED","0:0","pi_jss233","day","1","0","529"
"27061644_310","27067730","COMPLETED","0:0","pi_jss233","day","1","0","764"
"27061644_311","27067743","COMPLETED","0:0","pi_jss233","day","1","0","404"
"27061644_312","27067745","COMPLETED","0:0","pi_jss233","day","1","0","610"
"27061644_313","27067746","COMPLETED","0:0","pi_jss233","day","1","0","717"
"27061644_314","27067747","COMPLETED","0:0","pi_jss233","day","1","0","579"
"27061644_315","27067751","COMPLETED","0:0","pi_jss233","day","1","0","305"
"27061644_316","27067753","COMPLETED","0:0","pi_jss233","day","1","0","574"
"27061644_317","27067756","COMPLETED","0:0","pi_jss233","day","1","0","876"
"27061644_318","27067757","COMPLETED","0:0","pi_jss233","day","1","0","711"
"27061644_319","27067758","COMPLETED","0:0","pi_jss233","day","1","0","499"
"27061644_320","27067759","COMPLETED","0:0","pi_jss233","day","1","0","818"
"27061644_321","27067761","COMPLETED","0:0","pi_jss233","day","1","0","853"
"27061644_322","27067763","COMPLETED","0:0","pi_jss233","day","1","0","662"
"27061644_323","27067764","COMPLETED","0:0","pi_jss233","day","1","0","796"
"27061644_324","27067765","COMPLETED","0:0","pi_jss233","day","1","0","947"
"27061644_325","27067767","COMPLETED","0:0","pi_jss233","day","1","0","833"
"27061644_326","27067768","COMPLETED","0:0","pi_jss233","day","1","0","704"
"27061644_327","27067770","COMPLETED","0:0","pi_jss233","day","1","0","776"
"27061644_328","27067771","COMPLETED","0:0","pi_jss233","day","1","0","802"
"27061644_329","27067901","COMPLETED","0:0","pi_jss233","day","1","0","1164"
"27061644_330","27067902","COMPLETED","0:0","pi_jss233","day","1","0","783"
"27061644_331","27067903","COMPLETED","0:0","pi_jss233","day","1","0","1017"
"27061644_332","27067904","COMPLETED","0:0","pi_jss233","day","1","0","772"
"27061644_333","27067905","COMPLETED","0:0","pi_jss233","day","1","0","654"
"27061644_334","27067906","COMPLETED","0:0","pi_jss233","day","1","0","774"
"27061644_335","27067907","COMPLETED","0:0","pi_jss233","day","1","0","1063"
"27061644_336","27067908","COMPLETED","0:0","pi_jss233","day","1","0","1069"
"27061644_337","27067909","COMPLETED","0:0","pi_jss233","day","1","0","1187"
"27061644_338","27067910","COMPLETED","0:0","pi_jss233","day","1","0","728"
"27061644_339","27068226","COMPLETED","0:0","pi_jss233","day","1","0","752"
"27061644_340","27068385","COMPLETED","0:0","pi_jss233","day","1","0","831"
"27061644_341","27068386","COMPLETED","0:0","pi_jss233","day","1","0","1130"
"27061644_342","27068387","COMPLETED","0:0","pi_jss233","day","1","0","1108"
"27061644_343","27068388","COMPLETED","0:0","pi_jss233","day","1","0","941"
"27061644_344","27068389","COMPLETED","0:0","pi_jss233","day","1","0","857"
"27061644_345","27068390","COMPLETED","0:0","pi_jss233","day","1","0","1326"
"27061644_346","27068391","COMPLETED","0:0","pi_jss233","day","1","0","1021"
"27061644_347","27068392","COMPLETED","0:0","pi_jss233","day","1","0","1099"
"27061644_348","27068393","COMPLETED","0:0","pi_jss233","day","1","0","1023"
"27061644_349","27068394","COMPLETED","0:0","pi_jss233","day","1","0","576"
"27061644_350","27068395","COMPLETED","0:0","pi_jss233","day","1","0","576"
"27061644_351","27068396","COMPLETED","0:0","pi_jss233","day","1","0","688"
"27061644_352","27068801","COMPLETED","0:0","pi_jss233","day","1","0","491"
"27061644_353","27068802","COMPLETED","0:0","pi_jss233","day","1","0","580"
"27061644_354","27068803","COMPLETED","0:0","pi_jss233","day","1","0","556"
"27061644_355","27068804","COMPLETED","0:0","pi_jss233","day","1","0","620"
"27061644_356","27068805","COMPLETED","0:0","pi_jss233","day","1","0","526"
"27061644_357","27068806","COMPLETED","0:0","pi_jss233","day","1","0","542"
"27061644_358","27068807","COMPLETED","0:0","pi_jss233","day","1","0","568"
"27061644_359","27068808","COMPLETED","0:0","pi_jss233","day","1","0","635"
