"caseIndex","caseId","blockIndex","cohort","mapId","countryOrdinal","country","candidateStartOrdinal","opponentStartOrdinal","candidateStart","opponentStart","candidateSlot","repeatIndex","pairIndex","pairId","requestedEngineSeed","observedCandidateStart","observedOpponentStart","updates","selectorJobId","cellSha256"
"82","fresh-dual-v1-0082","0","central","hfo-le","1","Alliance","0","2","39,82","151,119","0","1","41","central:hfo-le:1:0:1","3765000041","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"83","fresh-dual-v1-0083","0","central","hfo-le","1","Alliance","0","2","39,82","151,119","1","1","41","central:hfo-le:1:0:1","3765000041","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"84","fresh-dual-v1-0084","0","central","hfo-le","1","Alliance","0","2","39,82","151,119","0","2","42","central:hfo-le:1:0:2","3765000042","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"85","fresh-dual-v1-0085","0","central","hfo-le","1","Alliance","0","2","39,82","151,119","1","2","42","central:hfo-le:1:0:2","3765000042","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"86","fresh-dual-v1-0086","0","central","hfo-le","1","Alliance","0","2","39,82","151,119","0","3","43","central:hfo-le:1:0:3","3765000043","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"87","fresh-dual-v1-0087","0","central","hfo-le","1","Alliance","0","2","39,82","151,119","1","3","43","central:hfo-le:1:0:3","3765000043","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"88","fresh-dual-v1-0088","0","central","hfo-le","1","Alliance","0","2","39,82","151,119","0","4","44","central:hfo-le:1:0:4","3765000044","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"89","fresh-dual-v1-0089","0","central","hfo-le","1","Alliance","0","2","39,82","151,119","1","4","44","central:hfo-le:1:0:4","3765000044","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"90","fresh-dual-v1-0090","0","central","hfo-le","1","Alliance","0","2","39,82","151,119","0","5","45","central:hfo-le:1:0:5","3765000045","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"91","fresh-dual-v1-0091","0","central","hfo-le","1","Alliance","0","2","39,82","151,119","1","5","45","central:hfo-le:1:0:5","3765000045","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"92","fresh-dual-v1-0092","0","central","hfo-le","1","Alliance","0","2","39,82","151,119","0","6","46","central:hfo-le:1:0:6","3765000046","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"93","fresh-dual-v1-0093","0","central","hfo-le","1","Alliance","0","2","39,82","151,119","1","6","46","central:hfo-le:1:0:6","3765000046","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
